source,target,path_len,path
Tolis2025,Tolis2025,1,"[""Tolis2025""]"
Farber2025,Farber2025,1,"[""Farber2025""]"
Chiu2025,Chiu2025,1,"[""Chiu2025""]"
Sparrow2025,Sparrow2025,1,"[""Sparrow2025""]"
Mack2025,Mack2025,1,"[""Mack2025""]"
SioumalasChristodoulou2025,SioumalasChristodoulou2025,1,"[""SioumalasChristodoulou2025""]"
Kamali2024,Kamali2024,1,"[""Kamali2024""]"
Beirovi2025,Beirovi2025,1,"[""Beirovi2025""]"
Huang2023,Huang2023,1,"[""Huang2023""]"
Saini2025,Saini2025,1,"[""Saini2025""]"
Watson2024,Watson2024,1,"[""Watson2024""]"
Tomczyk2025,Tomczyk2025,1,"[""Tomczyk2025""]"
Hughes2025,Hughes2025,1,"[""Hughes2025""]"
Kikutadze2025,Kikutadze2025,1,"[""Kikutadze2025""]"
Yahchouchi2025,Yahchouchi2025,1,"[""Yahchouchi2025""]"
Taibi2025,Taibi2025,1,"[""Taibi2025""]"
Akbarighatar2025,Akbarighatar2025,1,"[""Akbarighatar2025""]"
Marouf2025,Marouf2025,1,"[""Marouf2025""]"
Nayak2024,Nayak2024,1,"[""Nayak2024""]"
Katake2024,Katake2024,1,"[""Katake2024""]"
Ftterer2023,Ftterer2023,1,"[""Ftterer2023""]"
Renz2023,Renz2023,1,"[""Renz2023""]"
Kurian2025,Kurian2025,1,"[""Kurian2025""]"
Estrada2026,Estrada2026,1,"[""Estrada2026""]"
Hortal2025,Hortal2025,1,"[""Hortal2025""]"
Retscher2024,Retscher2024,1,"[""Retscher2024""]"
Kotter2025,Kotter2025,1,"[""Kotter2025""]"
Mehdian2025,Mehdian2025,1,"[""Mehdian2025""]"
ammit2025,ammit2025,1,"[""ammit2025""]"
Elia2025,Elia2025,1,"[""Elia2025""]"
Zhuang2025,Zhuang2025,1,"[""Zhuang2025""]"
Elnaem2025,Elnaem2025,1,"[""Elnaem2025""]"
Rani2024,Rani2024,1,"[""Rani2024""]"
Fan2025,Fan2025,1,"[""Fan2025""]"
Guo2025,Guo2025,1,"[""Guo2025""]"
Xing2025,Xing2025,1,"[""Xing2025""]"
Gamberini2025,Gamberini2025,1,"[""Gamberini2025""]"
Kabashkin2025,Kabashkin2025,1,"[""Kabashkin2025""]"
SnchezGmez2026,SnchezGmez2026,1,"[""SnchezGmez2026""]"
Nagpal2024,Nagpal2024,1,"[""Nagpal2024""]"
Tenrio2025,Tenrio2025,1,"[""Tenrio2025""]"
Tasneem2025,Tasneem2025,1,"[""Tasneem2025""]"
Singh2024,Singh2024,1,"[""Singh2024""]"
McDermott2025,McDermott2025,1,"[""McDermott2025""]"
PerezAlvarez2024,PerezAlvarez2024,1,"[""PerezAlvarez2024""]"
Mathew2025,Mathew2025,1,"[""Mathew2025""]"
Lv2023,Lv2023,1,"[""Lv2023""]"
Chauhan2024,Chauhan2024,1,"[""Chauhan2024""]"
Akhmetshin2024,Akhmetshin2024,1,"[""Akhmetshin2024""]"
Fedele2025,Fedele2025,1,"[""Fedele2025""]"
Dong2024,Dong2024,1,"[""Dong2024""]"
Agboola2025,Agboola2025,1,"[""Agboola2025""]"
Jarry2025,Jarry2025,1,"[""Jarry2025""]"
Rau2025,Rau2025,1,"[""Rau2025""]"
Meegan2025,Meegan2025,1,"[""Meegan2025""]"
Naik2024,Naik2024,1,"[""Naik2024""]"
Kourkoulou2024,Kourkoulou2024,1,"[""Kourkoulou2024""]"
Garamyan2025,Garamyan2025,1,"[""Garamyan2025""]"
Setyaning2025,Setyaning2025,1,"[""Setyaning2025""]"
Bannor2025,Bannor2025,1,"[""Bannor2025""]"
Mayasari2025,Mayasari2025,1,"[""Mayasari2025""]"
Deepshikha2025,Deepshikha2025,1,"[""Deepshikha2025""]"
Rizvi2025,Rizvi2025,1,"[""Rizvi2025""]"
Islam2024,Islam2024,1,"[""Islam2024""]"
Varas2025,Varas2025,1,"[""Varas2025""]"
Duda2026,Duda2026,1,"[""Duda2026""]"
Feng2026,Feng2026,1,"[""Feng2026""]"
Pouresmaeil2025,Pouresmaeil2025,1,"[""Pouresmaeil2025""]"
Chan2024,Chan2024,1,"[""Chan2024""]"
